Sr. No,Symbol,Company Name,"Market capitalization as on December 31, 2023
(In Lakhs)"
1,RELIANCE,Reliance Industries Limited,174889554.787729
2,TCS,Tata Consultancy Services Limited,137248531.907812
3,HDFCBANK,HDFC Bank Limited,129740453.99988699
4,ICICIBANK,ICICI Bank Limited,69902440.891932
5,INFY,Infosys Limited,64037070.702681
6,HINDUNILVR,Hindustan Unilever Limited,62591936.424049005
7,BHARTIARTL,Bharti Airtel Limited,58028012.499392
8,ITC,ITC Limited,57649787.673312
9,SBIN,State Bank of India,57300470.922247
10,LICI,Life Insurance Corporation Of India,52655605.860825
11,LT,Larsen & Toubro Limited,48466573.5869
12,BAJFINANCE,Bajaj Finance Limited,45287186.0248675
13,HCLTECH,HCL Technologies Limited,39785043.972456
14,KOTAKBANK,Kotak Mahindra Bank Limited,37924093.150021
15,AXISBANK,Axis Bank Limited,33991569.444873
16,ASIANPAINT,Asian Paints Limited,32635745.60696
17,TITAN,Titan Company Limited,32630136.41772
18,ADANIENT,Adani Enterprises Limited,32478061.936729502
19,MARUTI,Maruti Suzuki India Limited,32390853.582489
20,ULTRACEMCO,UltraTech Cement Limited,30320905.713557
21,SUNPHARMA,Sun Pharmaceutical Industries Limited,30218424.279665
22,NTPC,NTPC Limited,30171176.675941
23,BAJAJFINSV,Bajaj Finserv Limited,26896750.409553997
24,DMART,Avenue Supermarts Limited,26567153.600702003
25,TATAMOTORS,Tata Motors Limited,25916546.0734425
26,ONGC,Oil & Natural Gas Corporation Limited,25795862.511903
27,NESTLEIND,Nestle India Limited,25627586.559947997
28,ADANIGREEN,Adani Green Energy Limited,25296998.67366
29,WIPRO,Wipro Limited,24621822.533616003
30,COALINDIA,Coal India Limited,23171858.50952
31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,22127383.2831075
32,POWERGRID,Power Grid Corporation of India Limited,22061032.258667998
33,JSWSTEEL,JSW Steel Limited,21526108.535715
34,M&M,Mahindra & Mahindra Limited,21505587.603313997
35,ADANIPOWER,Adani Power Limited,20254714.848661497
36,BAJAJ-AUTO,Bajaj Auto Limited,19233319.016655
37,HAL,Hindustan Aeronautics Limited,18752451
38,LTIM,LTIMindtree Limited,18627749.3229685
39,IOC,Indian Oil Corporation Limited,18336428.0403255
40,DLF,DLF Limited,17980688.421504
